Participant,Version,Task Start,Task End,Task Length ,Task Completed
100,Keys,00:46,01:58,01:12, 1.0 
100,Speech,00:30,04:42,04:12, 1.0 
101,Keys,00:49,02:35,01:46, 1.0 
101,Speech,00:30,07:15,06:45, -   
102,Keys,00:54,03:14,02:20, 1.0 
102,Speech,01:05,06:27,05:22, -   
103,Keys,00:15,01:34,01:19, 1.0 
103,Speech,00:06,08:50,08:44, -   
104,Keys,00:10,03:26,03:16, 1.0 
104,Speech,02:48,06:57,04:09, 1.0 
105,Keys,00:19,01:40,01:21, 1.0 
105,Speech,01:52,08:03,06:11, -   
106,Keys,00:34,02:47,02:13, 1.0 
106,Speech,00:20,03:12,02:52, 1.0 
107,Keys,00:08,05:53,05:45, -   
107,Speech,00:03,05:34,05:31, 1.0 
108,Keys,00:33,04:16,03:43, 1.0 
108,Speech,01:09,09:53,08:44, 1.0 
